layer,head,cosine,projection,energy,abs_cosine,label
0,0,0.9829276,78.15068456404258,79.491264,0.9829276,L0H0
0,1,0.46775258,9.433021748665677,20.290888,0.46775258,L0H1
0,2,-0.6383561,-19.263632588666738,28.665989,0.6383561,L0H2
0,3,-0.47463426,-13.272489346969314,24.87285,0.47463426,L0H3
0,4,-0.057613853,-0.5918357476570622,42.979717,0.057613853,L0H4
0,5,-0.5180302,-14.916198396538826,28.338198,0.5180302,L0H5
1,0,0.7905619,16.35746392236024,18.652178,0.7905619,L1H0
1,1,-0.7243575,-14.58849497387842,20.082392,0.7243575,L1H1
1,2,-0.98837966,-38.37944866983242,38.830757,0.98837966,L1H2
1,3,-0.11786558,-3.9782019115317375,17.354923,0.11786558,L1H3
1,4,-0.45183706,-5.345234020191092,9.938248,0.45183706,L1H4
1,5,0.55292803,8.435933396564947,14.881993,0.55292803,L1H5
2,0,-0.80592054,-11.57175129972228,14.336474,0.80592054,L2H0
2,1,-0.8840182,-15.747685313952221,17.533716,0.8840182,L2H1
2,2,-0.9202522,-16.052038020345922,17.441452,0.9202522,L2H2
2,3,-0.629867,-9.590754847687418,14.716209,0.629867,L2H3
2,4,0.1729776,1.4431760328383187,8.073225,0.1729776,L2H4
2,5,-0.86931115,-8.537976882878876,9.735966,0.86931115,L2H5
3,0,-0.39356673,-2.6650387976931595,6.0757847,0.39356673,L3H0
3,1,-0.7283159,-10.575343641492612,13.512589,0.7283159,L3H1
3,2,0.26767978,1.2752804545909275,3.9910705,0.26767978,L3H2
3,3,-0.09515345,-0.3048378951717608,4.9507537,0.09515345,L3H3
3,4,-0.8624284,-7.108387187905969,7.9840817,0.8624284,L3H4
3,5,-0.75626075,-4.916231043023324,6.3330436,0.75626075,L3H5
4,0,-0.6207762,-2.763132712973232,4.4308157,0.6207762,L4H0
4,1,-0.64188474,-4.186200584495369,6.2506123,0.64188474,L4H1
4,2,-0.33642584,-2.229496340489068,5.5933347,0.33642584,L4H2
4,3,-0.42767772,-3.0686662415066692,5.834696,0.42767772,L4H3
4,4,0.053261183,0.14297460194267264,4.0871654,0.053261183,L4H4
4,5,-0.49611932,-4.159711117695458,7.0232286,0.49611932,L4H5
5,0,-0.51647925,-2.5324363277267525,4.3737235,0.51647925,L5H0
5,1,-0.24482314,-1.3366059463677404,5.687745,0.24482314,L5H1
5,2,0.08355253,0.3528037557313075,3.8033714,0.08355253,L5H2
5,3,0.22395831,1.1792371029193696,6.576417,0.22395831,L5H3
5,4,0.22791123,0.9248625495551352,3.8935826,0.22791123,L5H4
5,5,-0.18444374,-0.6412088392494857,4.047107,0.18444374,L5H5
