label,abs_cosine,abs_proj,energy,recovery_loss,abs_mean_corr,ramp_abs_corr,rank_align,rank_path,rank_actcorr,rank_ramp,consensus_rank,is_source
L0H0,0.7329463362693787,47.690563444416256,65.06692504882812,,1.0000011920928955,0.2498936951160431,1.0,11.0,1.0,5.0,4.5,True
L1H2,0.7909716367721558,25.508559657932945,32.2496452331543,0.0,0.0166022889316082,0.2724407911300659,2.0,11.0,7.0,2.0,5.5,False
L0H5,0.5898529887199402,22.441150286708528,38.04533004760742,,0.0377619788050651,0.2479079663753509,5.0,11.0,3.0,6.0,6.25,False
L1H3,0.7328643202781677,22.40749325744044,30.57522773742676,0.07499999999999996,0.0145169617608189,0.1824971288442611,6.0,1.0,10.0,17.0,8.5,False
L2H1,0.755731463432312,15.131157499886578,20.02187156677246,0.024999999999999974,0.0121177919209003,0.2007919251918792,8.0,3.0,12.0,14.0,9.25,False
L2H2,0.6703956127166748,10.478251551039374,15.629953384399414,0.024999999999999974,0.0065071717835962,0.2864840924739837,14.0,3.0,20.0,1.0,9.5,False
L0H3,0.5901156663894653,13.407169779915362,22.719560623168945,,0.0274994354695081,0.2054081708192825,10.0,11.0,4.0,13.0,9.5,False
L0H2,0.7772918343544006,11.017123686158278,14.17372703552246,,0.0131406066939234,0.262555330991745,13.0,11.0,11.0,4.0,9.75,False
L2H5,0.7807519435882568,7.69556742047255,9.856610298156738,0.024999999999999974,0.0148400394245982,0.2140582054853439,16.0,3.0,9.0,11.0,9.75,False
L0H1,0.7048244476318359,15.886445434351376,22.539581298828125,,0.0062995254993438,0.2681455314159393,7.0,11.0,21.0,3.0,10.5,False
L0H4,0.5815086364746094,23.086285627603992,39.700679779052734,,0.0391570441424846,0.1344017535448074,3.0,11.0,2.0,32.0,12.0,False
L1H0,0.7860408425331116,22.97993911828702,29.235042572021484,-0.049999999999999975,0.0199238061904907,0.2342514395713806,4.0,34.0,5.0,8.0,12.75,False
L1H1,0.7132685780525208,14.193138545789656,19.89872932434082,-0.049999999999999975,0.0153835155069828,0.2160605043172836,9.0,34.0,8.0,10.0,15.25,False
L3H1,0.8429672122001648,8.57406485575719,10.171290397644045,0.024999999999999974,0.0095116011798381,0.1398646235466003,15.0,3.0,16.0,30.0,16.0,False
L4H2,0.8020675182342529,4.960291774777156,6.184381484985352,0.024999999999999974,0.0098443515598773,0.170323759317398,26.0,3.0,14.0,21.0,16.0,False
L3H4,0.7349069118499756,6.996311661757561,9.519997596740724,0.024999999999999974,0.0194125641137361,0.1266307830810547,20.0,3.0,6.0,36.0,16.25,False
L5H5,0.6807804107666016,3.1987709302490983,4.6986823081970215,0.04999999999999995,0.0103141404688358,0.1794042885303497,34.0,2.0,13.0,18.0,16.75,False
L4H1,0.7692602872848511,5.388082059738593,7.004238605499268,0.024999999999999974,0.0041918945498764,0.1679144948720932,23.0,3.0,24.0,23.0,18.25,False
L1H5,0.7454238533973694,11.99734340825931,16.09465980529785,-2.7755575615628914e-17,0.0027042026631534,0.2180078774690628,11.0,25.0,28.0,9.0,18.25,False
L2H0,0.6959286332130432,11.378850944239652,16.350601196289062,-0.049999999999999975,0.0078693078830838,0.1834359765052795,12.0,34.0,17.0,16.0,19.75,False
L2H4,0.7489558458328247,5.221295688497174,6.971434116363525,-2.7755575615628914e-17,0.0078616235405206,0.1840783804655075,24.0,25.0,18.0,15.0,20.5,False
L5H4,0.8945378065109253,5.16999792180084,5.7795186042785645,0.0,0.0025973678566515,0.1741762310266494,25.0,11.0,29.0,19.0,21.0,False
L3H5,0.7677650451660156,4.395897540858137,5.725577354431152,-2.7755575615628914e-17,0.0036495721433311,0.2476516813039779,28.0,25.0,25.0,7.0,21.25,False
L2H3,0.8311104774475098,7.282411204656241,8.762266159057617,-0.025,0.0047579794190824,0.205491691827774,19.0,32.0,23.0,12.0,21.5,False
L5H1,0.8814517259597778,7.426569838150549,8.425384521484375,-2.7755575615628914e-17,0.0098015004768967,0.1428020894527435,18.0,25.0,15.0,29.0,21.75,False
L3H0,0.5824493169784546,4.358543056691996,7.483129501342773,0.024999999999999974,0.0001602441625436,0.1713452488183975,29.0,3.0,35.0,20.0,21.75,False
L4H3,0.7875031232833862,5.489583153133911,6.970871448516846,0.0,7.54576176404953e-05,0.1635637283325195,22.0,11.0,36.0,26.0,23.75,False
L5H3,0.9405137300491332,6.44520054417206,6.852850914001465,0.0,0.0014399702195078,0.1339889615774154,21.0,11.0,31.0,33.0,24.0,False
L1H4,0.7459462285041809,7.44520856794514,9.980892181396484,-2.7755575615628914e-17,0.0015497255371883,0.1641285717487335,17.0,25.0,30.0,25.0,24.25,False
L4H0,0.7193318605422974,3.7168149432507738,5.167037487030029,0.0,0.0004448917752597,0.1670824736356735,31.0,11.0,34.0,24.0,25.0,False
L4H5,0.807213306427002,4.924150391522139,6.100184917449951,-2.7755575615628914e-17,0.0029476156923919,0.1689940392971038,27.0,25.0,27.0,22.0,25.25,False
L3H2,0.6728343367576599,3.729575648354925,5.543081760406494,0.0,0.0032337396405637,0.1315823942422866,30.0,11.0,26.0,34.0,25.25,False
L5H0,0.7277470231056213,3.632849544868896,4.991912364959717,0.0,0.0009928483050316,0.1572279036045074,32.0,11.0,33.0,27.0,25.75,False
L5H2,0.7515370845794678,2.363196156771132,3.14448356628418,-2.7755575615628914e-17,0.00655815936625,0.1356212049722671,36.0,25.0,19.0,31.0,27.75,False
L3H3,0.8137395977973938,3.0417012281968536,3.737929105758667,0.0,0.0012152572162449,0.1287897825241089,35.0,11.0,32.0,35.0,28.25,False
L4H4,0.7780093550682068,3.292479304424849,4.231926918029785,-0.025,0.0061423266306519,0.1447596102952957,33.0,32.0,22.0,28.0,28.75,False
