layer,head,label,ramp_abs_corr,ramp_std,n_prompts
2,2,L2H2,0.28648409247398376,0.12922005355358124,30
1,2,L1H2,0.2724407911300659,0.14641964435577393,30
0,1,L0H1,0.26814553141593933,0.16670598089694977,30
0,2,L0H2,0.262555330991745,0.18610788881778717,30
0,0,L0H0,0.2498936951160431,0.22648434340953827,30
0,5,L0H5,0.24790796637535095,0.179155170917511,30
3,5,L3H5,0.24765168130397797,0.12058784067630768,30
1,0,L1H0,0.23425143957138062,0.14371797442436218,30
1,5,L1H5,0.2180078774690628,0.10809365659952164,30
1,1,L1H1,0.21606050431728363,0.1279483288526535,30
2,5,L2H5,0.21405820548534393,0.12845370173454285,30
2,3,L2H3,0.20549169182777405,0.1273127943277359,30
0,3,L0H3,0.20540817081928253,0.14776667952537537,30
2,1,L2H1,0.20079192519187927,0.11783293634653091,30
2,4,L2H4,0.1840783804655075,0.10157734900712967,30
2,0,L2H0,0.18343597650527954,0.1011429950594902,30
1,3,L1H3,0.18249712884426117,0.1276792287826538,30
5,5,L5H5,0.17940428853034973,0.10849381983280182,30
5,4,L5H4,0.17417623102664948,0.09821731597185135,30
3,0,L3H0,0.17134524881839752,0.12310850620269775,30
4,2,L4H2,0.17032375931739807,0.0952591821551323,30
4,5,L4H5,0.16899403929710388,0.09641298651695251,30
4,1,L4H1,0.1679144948720932,0.09872657060623169,30
4,0,L4H0,0.16708247363567352,0.12195714563131332,30
1,4,L1H4,0.16412857174873352,0.10386217385530472,30
4,3,L4H3,0.16356372833251953,0.10674034059047699,30
5,0,L5H0,0.15722790360450745,0.11132341623306274,30
4,4,L4H4,0.14475961029529572,0.08079522103071213,30
5,1,L5H1,0.14280208945274353,0.09014230221509933,30
3,1,L3H1,0.13986462354660034,0.07066310197114944,30
5,2,L5H2,0.13562120497226715,0.07168561220169067,30
0,4,L0H4,0.13440175354480743,0.11113318055868149,30
5,3,L5H3,0.13398896157741547,0.09381600469350815,30
3,2,L3H2,0.13158239424228668,0.09246387332677841,30
3,3,L3H3,0.1287897825241089,0.08826038241386414,30
3,4,L3H4,0.1266307830810547,0.09425880759954453,30
