label,n_ablated,spatial_relationship_loose,color,shape,unique_binding,exist_binding,elapsed_s
triple_baseline,0,0.9210526315789473,0.9789473684210527,0.9421052631578948,0.9368421052631579,0.9368421052631579,2.9797277450561523
triple_src_only,2,0.48947368421052634,0.8157894736842105,0.8789473684210526,0.7526315789473684,0.7526315789473684,3.050555944442749
triple_src_L0H5,3,0.4105263157894737,0.7473684210526316,0.8052631578947368,0.6368421052631579,0.6368421052631579,3.0508430004119873
triple_src_L1H3,3,0.4263157894736842,0.7684210526315789,0.8631578947368421,0.6894736842105263,0.7,3.071107864379883
triple_src_L2H1,3,0.45263157894736844,0.7526315789473684,0.8631578947368421,0.7,0.7,3.087634801864624
triple_src_L2H2,3,0.43157894736842106,0.7157894736842105,0.8736842105263158,0.6736842105263158,0.6789473684210526,3.099551200866699
triple_src_L0H4,3,0.4421052631578947,0.7684210526315789,0.8578947368421053,0.7157894736842105,0.7157894736842105,3.0527093410491943
triple_src_L0H1,3,0.4421052631578947,0.7894736842105263,0.8631578947368421,0.7105263157894737,0.7157894736842105,3.063321828842163
triple_src_L1H5,3,0.4631578947368421,0.8526315789473684,0.8736842105263158,0.7842105263157895,0.7947368421052632,3.0422472953796387
triple_src_L0H2,3,0.45263157894736844,0.7894736842105263,0.8315789473684211,0.7052631578947368,0.7052631578947368,3.060729503631592
